ActorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
1,Paul,Simon,Diğer,1951-11-11,Fransa,0,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Her filmi büyük bir titizlikle yönetir.
2,Tim,Schmidt,Erkek,1989-02-08,Almanya,7,Derin karakter analizleri ile tanınmaktadır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
3,David,Davis,Erkek,1994-06-14,ABD,8,Her filmi büyük bir titizlikle yönetir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
4,Finn,Müller,Erkek,1986-04-06,Almanya,10,Derin karakter analizleri ile tanınmaktadır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur.
5,Min-Seo,Jung,Kadın,1954-08-19,Güney Kore,8,Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Her filmi büyük bir titizlikle yönetir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
6,William,Williams,Erkek,1971-06-21,İngiltere,8,Toplumsal meselelere duyarlı projelerde yer almıştır. Derin karakter analizleri ile tanınmaktadır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
7,Léna,Bernard,Diğer,1960-03-06,Fransa,10,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
8,Alejandro,López,Erkek,1993-04-15,Meksika,7,Kültürel çeşitliliği ve insan hikayelerini işler. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
9,Carmen,Sánchez,Kadın,1956-04-06,Meksika,5,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Çok yönlü sanatçı kimliği ile tanınır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Seslendirme ve dublajda da başarılı çalışmaları vardır.
10,Yu-Jin,Yoon,Kadın,1990-01-23,Güney Kore,5,Toplumsal meselelere duyarlı projelerde yer almıştır. Film müziklerine özel önem verir ve işbirlikleri yapar. Kültürel çeşitliliği ve insan hikayelerini işler. Her filmi büyük bir titizlikle yönetir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
