DirectorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
1,Andrea,Esposito,Erkek,1964-09-03,İtalya,4,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
2,Emily,Jones,Kadın,1942-11-07,İngiltere,6,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Toplumsal meselelere duyarlı projelerde yer almıştır.
3,Manon,Leroy,Kadın,1977-08-20,Fransa,18,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Film müziklerine özel önem verir ve işbirlikleri yapar. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Derin karakter analizleri ile tanınmaktadır.
4,William,Johnson,Erkek,1959-04-26,ABD,2,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
5,Verónica,García,Kadın,1951-03-14,Meksika,17,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
6,Miguel,García,Erkek,1960-06-11,Meksika,7,Kültürel çeşitliliği ve insan hikayelerini işler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Her filmi büyük bir titizlikle yönetir.
7,Anna,Romano,Kadın,1954-08-04,İtalya,6,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur.
8,Giovanni,Ricci,Erkek,1961-12-17,İtalya,12,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Toplumsal meselelere duyarlı projelerde yer almıştır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır.
9,Linda,Smith,Kadın,1945-01-06,ABD,10,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
10,Martina,Bianchi,Kadın,1981-03-01,İtalya,4,Çok yönlü sanatçı kimliği ile tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir.
11,Divya,Kumar,Kadın,1975-10-31,Hindistan,4,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
12,Alessandro,Colombo,Erkek,1945-09-12,İtalya,19,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Toplumsal meselelere duyarlı projelerde yer almıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
13,Emma,Weber,Kadın,1970-07-08,Almanya,13,Her filmi büyük bir titizlikle yönetir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Çok yönlü sanatçı kimliği ile tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
14,Mei,Chen,Kadın,1985-07-18,Çin,20,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Film müziklerine özel önem verir ve işbirlikleri yapar. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
